epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,33.6871,0.36835,0.75661,0.93617,0.8661,0.9,0.84908,0.28328,2.38867,1.40492,4.85758,0.00049025,0.00049025,0.00049025
63,34.1388,0.33761,0.72498,0.90321,0.89075,0.9,0.8319,0.30255,2.41832,1.35838,4.7651,0.0004655,0.0004655,0.0004655
64,34.5939,0.34637,0.73227,0.86156,0.89075,0.9,0.8319,0.30255,2.41832,1.35838,4.7651,0.00044075,0.00044075,0.00044075
65,35.1665,0.33629,0.6994,0.88396,0.88152,0.9,0.86346,0.30246,2.349,1.3718,4.48914,0.000416,0.000416,0.000416
66,35.6105,0.31302,0.71307,0.906,0.88152,0.9,0.86346,0.30246,2.349,1.3718,4.48914,0.00039125,0.00039125,0.00039125
67,36.062,0.29951,0.69548,0.88659,0.8817,0.9,0.86204,0.3116,2.28577,1.39454,4.28654,0.0003665,0.0003665,0.0003665
68,36.5136,0.30594,0.67683,0.90455,0.89705,0.87343,0.82691,0.31926,2.27629,1.34302,4.25105,0.00034175,0.00034175,0.00034175
69,36.954,0.31913,0.66645,0.89561,0.89705,0.87343,0.82691,0.31926,2.27629,1.34302,4.25105,0.000317,0.000317,0.000317
70,37.3985,0.30718,0.68218,0.85493,0.89674,0.87063,0.83645,0.31259,2.26916,1.35455,4.19111,0.00029225,0.00029225,0.00029225
71,42.5998,0.27409,0.66206,0.86925,0.89751,0.87755,0.87667,0.33335,2.27228,1.36922,4.16556,0.0002675,0.0002675,0.0002675
72,43.1532,0.28345,0.66098,0.83089,0.89751,0.87755,0.87667,0.33335,2.27228,1.36922,4.16556,0.00024275,0.00024275,0.00024275
73,43.6107,0.28076,0.64004,0.89478,0.89739,0.9,0.88262,0.34216,2.26684,1.36154,4.2046,0.000218,0.000218,0.000218
74,44.0472,0.29351,0.66917,0.87609,0.89739,0.9,0.88262,0.34216,2.26684,1.36154,4.2046,0.00019325,0.00019325,0.00019325
75,44.5039,0.24488,0.63901,0.81974,0.88471,0.9,0.88262,0.3383,2.26241,1.37741,4.19011,0.0001685,0.0001685,0.0001685
76,44.943,0.26159,0.64551,0.87038,0.88237,0.9,0.88262,0.34158,2.25692,1.37894,4.16956,0.00014375,0.00014375,0.00014375
77,45.3642,0.21932,0.62391,0.79912,0.88237,0.9,0.88262,0.34158,2.25692,1.37894,4.16956,0.000119,0.000119,0.000119
78,45.8435,0.23751,0.63011,0.87402,0.87873,0.9,0.87848,0.33709,2.25177,1.37617,4.16565,9.425e-05,9.425e-05,9.425e-05
79,46.2891,0.24541,0.63282,0.81566,0.8786,0.9,0.83772,0.33014,2.25432,1.35205,4.1593,6.95e-05,6.95e-05,6.95e-05
80,46.7206,0.24204,0.60969,0.84157,0.8786,0.9,0.83772,0.33014,2.25432,1.35205,4.1593,4.475e-05,4.475e-05,4.475e-05
